realization_day,weekday,weekday2,avg_reservation_price,avg_da_price
2021-06-06,6,36,1.47,49.64261707857322
2021-06-07,0,0,1.47,71.74893402390022
2021-06-08,1,1,1.47,72.79964206966706
2021-06-09,2,4,1.47,74.0481159020736
2021-06-10,3,9,1.47,74.71262638564355
2021-06-11,4,16,1.47,73.72998622188287
2021-06-12,5,25,1.47,51.70670266419779
2021-06-13,6,36,1.47,37.201783323421445
2021-06-14,0,0,1.47,77.64920351349592
2021-06-15,1,1,1.47,79.62680403286996
2021-06-16,2,4,1.47,79.26021989715787
2021-06-17,3,9,1.47,76.50121466048351
2021-06-19,5,25,1.47,58.038649673683615
2021-06-20,6,36,1.47,49.004943980684374
2021-06-21,0,0,1.47,88.23597198537546
2021-06-22,1,1,1.47,86.07948557965965
2021-06-23,2,4,1.378125,87.3713059796919
2021-06-24,3,9,1.47,93.46810953255816
2021-06-25,4,16,1.47,86.08057504849886
2021-06-26,5,25,1.47,73.97956022157996
2021-06-27,6,36,1.47,61.51999115093047
2021-06-28,0,0,1.47,91.92666665230303
2021-06-29,1,1,1.47,94.50506594142284
2021-06-30,2,4,1.47,96.37712102725277
2021-07-01,3,9,0.0,92.34796268942148
2021-07-02,4,16,0.0,90.34870743569694
2021-07-03,5,25,0.0,83.324252083004
2021-07-04,6,36,0.0,74.79154299917316
2021-07-05,0,0,0.0,88.9331954826854
2021-07-06,1,1,0.45937500000000003,81.34617600944027
2021-07-07,2,4,0.0,98.28277613027326
2021-07-08,3,9,0.0,105.79328513017488
2021-07-09,4,16,0.0,100.6593762583032
2021-07-10,5,25,0.0,80.06290412518729
2021-07-11,6,36,0.0,77.80224119314107
2021-07-12,0,0,0.0,90.45269543486063
2021-07-13,1,1,0.0,92.34519779406759
2021-07-14,2,4,0.0,93.2723998675545
2021-07-15,3,9,0.0,90.25365932007246
2021-07-16,4,16,0.0,87.40136517470698
2021-07-17,5,25,0.0,66.47083526912145
2021-07-18,6,36,0.0,57.11176536408425
2021-07-19,0,0,0.0,83.8624225287906
2021-07-20,1,1,0.0,87.97752396207905
2021-07-21,2,4,0.0,93.18127680989681
2021-07-22,3,9,0.0,90.65832584272239
2021-07-23,4,16,0.0,87.05109733668799
2021-07-24,5,25,0.0,70.23425702949815
2021-07-25,6,36,0.0,61.027235992242055
2021-07-26,0,0,0.0,86.62903199901389
2021-07-27,1,1,0.0,85.90426866237863
2021-07-28,2,4,0.0,78.04213183841246
2021-07-29,3,9,0.9175,66.23455151323606
2021-07-30,4,16,0.0,78.04282192118181
2021-07-31,5,25,0.0,54.2470200288802
2021-08-01,6,36,0.0,59.316213533302026
2021-08-02,0,0,0.0,72.11644430333253
2021-08-03,1,1,0.0,85.41782543852854
2021-08-04,2,4,0.0,93.89023147947329
2021-08-05,3,9,0.0,90.7863331933399
2021-08-06,4,16,0.0,75.79513289217074
2021-08-07,5,25,0.0,61.665035286623656
2021-08-08,6,36,0.0,37.15752586126579
2021-08-09,0,0,0.0,66.53573703891122
2021-08-10,1,1,0.0,85.6938746535677
2021-08-11,2,4,0.0,91.19145863824178
2021-08-12,3,9,0.0,94.9896603818131
2021-08-13,4,16,0.0,93.42344001112498
2021-08-14,5,25,0.0,55.90800911153846
2021-08-15,6,36,0.0,48.99767569034938
2021-08-16,0,0,0.0,70.87959004949676
2021-08-17,1,1,0.0,73.52194437161316
2021-08-18,2,4,0.0,80.75563234525107
2021-08-19,3,9,0.0,87.96298916524357
2021-08-20,4,16,0.0,98.9060351823086
2021-08-21,5,25,0.0,79.41895661570899
2021-08-22,6,36,0.0,71.27595063212489
2021-08-23,0,0,0.0,90.24063478146776
2021-08-24,1,1,0.0,93.31597638875007
2021-08-25,2,4,0.0,87.15159554852956
2021-08-26,3,9,0.0,88.49070107985756
2021-08-27,4,16,0.0,91.79849625120998
2021-08-28,5,25,0.0,81.67586686055564
2021-08-29,6,36,0.0,73.2783735731849
2021-08-30,0,0,0.0,95.54201983750114
2021-08-31,1,1,0.0,99.50710990667524
2021-09-01,2,4,0.0,109.20445743099235
2021-09-02,3,9,0.0,108.93585155530741
2021-09-03,4,16,0.0,111.82636093176389
2021-09-04,5,25,0.0,95.019969713865
2021-09-05,6,36,0.0,87.099942478062
2021-09-06,0,0,0.0,116.46670909454645
2021-09-07,1,1,0.0,124.33606482800987
2021-09-08,2,4,0.0,122.03920758120928
2021-09-09,3,9,0.0,124.42031798962199
2021-09-10,4,16,0.0,130.2722090835637
2021-09-11,5,25,0.0,115.61899472060087
2021-09-12,6,36,0.0,105.98254387452887
2021-09-13,0,0,0.0,136.68912442317153
2021-09-14,1,1,0.0,138.3177321687994
2021-09-15,2,4,0.0,148.31120985483741
2021-09-16,3,9,0.0,153.45771195172293
2021-09-17,4,16,0.0,163.01405531113315
2021-09-18,5,25,0.0,136.6302683700585
2021-09-19,6,36,0.0,111.24065929629056
2021-09-20,0,0,0.0,152.99670136270632
2021-09-21,1,1,1.47,157.18143952172892
2021-09-22,2,4,0.0,149.03052850492324
2021-09-23,3,9,0.0,115.24048443304781
2021-09-24,4,16,0.0,120.77926513274771
2021-09-25,5,25,0.0,123.4180696427319
2021-09-26,6,36,0.0,111.12988665844237
2021-09-27,0,0,0.0,134.9372308070614
2021-09-28,1,1,0.0,153.69121496393203
2021-09-29,2,4,0.0,137.5349759022023
2021-09-30,3,9,0.0,116.95965709457685
2021-10-01,4,16,4.648333333333333,108.15113067622612
2021-10-02,5,25,4.648333333333333,112.22811431192224
2021-10-03,6,36,4.648333333333333,90.49677437593607
2021-10-04,0,0,4.648333333333333,150.7625724643592
2021-10-05,1,1,1.8375000000000001,151.4945084506202
2021-10-06,2,4,4.188958333333333,151.84276767550202
2021-10-07,3,9,2.4433333333333334,257.1233759480112
2021-10-08,4,16,0.0,249.97117262436925
2021-10-09,5,25,3.0541666666666667,150.68109367780974
2021-10-10,6,36,3.0541666666666667,128.99177869285444
2021-10-11,0,0,0.0,185.39315442655004
2021-10-12,1,1,0.0,180.7498718685994
2021-10-13,2,4,0.9162500000000001,193.45442384071546
2021-10-14,3,9,0.55,181.90352197318109
2021-10-15,4,16,0.0,156.61332972838338
2021-10-16,5,25,0.0,155.33544856933972
2021-10-17,6,36,0.0,142.1671212705256
2021-10-18,0,0,0.0,202.8819571964962
2021-10-19,1,1,3.0591666666666666,179.34284677500054
2021-10-20,2,4,1.194375,139.5489730213625
2021-10-21,3,9,1.6537499999999998,99.2407056130201
2021-10-22,4,16,1.0689583333333335,84.45010018497486
2021-10-23,5,25,1.561875,133.98894145048249
2021-10-24,6,36,1.378125,118.90596556686006
2021-10-25,0,0,0.55125,167.99118997895616
2021-10-26,1,1,0.0,188.9137668311901
2021-10-27,2,4,0.0,138.99336223489135
2021-10-28,3,9,0.0,151.8099949308552
2021-10-29,4,16,0.0,146.8541300042155
2021-10-30,5,25,0.0,111.47836718477265
2021-10-31,6,36,0.0,93.70753432829315
2021-11-01,0,0,0.0,101.25555725191043
2021-11-02,1,1,0.0,148.6424178435971
2021-11-03,2,4,0.0,166.83755867075004
2021-11-04,3,9,0.0,166.63342965785526
2021-11-05,4,16,1.6797916666666666,148.14148135701285
2021-11-06,5,25,5.230625,91.08614021363094
2021-11-07,6,36,5.230625,53.55225061405323
2021-11-08,0,0,5.230625,154.26391722205707
2021-11-09,1,1,4.284166666666667,168.18334284012408
2021-11-10,2,4,2.508125,196.18329442023708
2021-11-11,3,9,4.284166666666667,183.94457112651207
2021-11-12,4,16,3.2735416666666666,156.09825064864103
2021-11-13,5,25,4.191458333333333,127.50426066781459
2021-11-14,6,36,4.146176470588236,153.38398606078982
2021-11-15,0,0,4.284166666666667,187.22451064387977
2021-11-16,1,1,1.8375000000000001,206.18086462899404
2021-11-17,2,4,1.8375000000000001,176.08930642922806
2021-11-18,3,9,1.47,159.11118283293663
2021-11-19,4,16,1.8375000000000001,140.15904083013012
2021-11-20,5,25,4.651666666666666,143.70661898044878
2021-11-21,6,36,4.651666666666666,161.10881343323013
2021-11-22,0,0,2.3874999999999997,220.76126219478684
2021-11-23,1,1,2.295,238.81271514503592
2021-11-24,2,4,2.4147916666666664,256.8982403791835
2021-11-25,3,9,4.005208333333333,224.74962496893087
2021-11-26,4,16,1.47,207.4011761494753
2021-11-27,5,25,4.188958333333333,201.3277753604425
2021-11-28,6,36,4.192291666666667,201.9650804710719
2021-11-29,0,0,3.3654166666666665,277.6531368146597
2021-11-30,1,1,4.284166666666667,198.71872950456768
2021-12-01,2,4,5.5075,168.64946117211446
2021-12-02,3,9,5.048125,227.1245140168612
2021-12-03,4,16,5.867708333333333,176.17187043737533
2021-12-04,5,25,5.685,198.26900289962077
2021-12-05,6,36,5.8687499999999995,187.17627770257823
2021-12-06,0,0,5.414166666666667,259.02044082876273
2021-12-07,1,1,3.668333333333333,243.31641569715507
2021-12-08,2,4,5.412708333333334,208.9986728083329
2021-12-09,3,9,3.67,251.39077635828565
2021-12-10,4,16,2.7525,249.9437822019578
