,country,type,direction,interval_index,time_start_cet,time_end_cet,entsoe_reservation_price,currency,realization_day
0,SK,mFRR,Up,14,13:00:00,14:00:00,7.34,EUR,2021-02-05
1,SK,mFRR,Up,15,14:00:00,15:00:00,7.34,EUR,2021-02-05
2,SK,mFRR,Up,16,15:00:00,16:00:00,7.34,EUR,2021-02-05
3,SK,mFRR,Up,17,16:00:00,17:00:00,7.34,EUR,2021-02-05
4,SK,mFRR,Up,18,17:00:00,18:00:00,7.34,EUR,2021-02-05
5,SK,mFRR,Up,19,18:00:00,19:00:00,7.34,EUR,2021-02-05
6,SK,mFRR,Up,20,19:00:00,20:00:00,7.34,EUR,2021-02-05
7,SK,mFRR,Up,21,20:00:00,21:00:00,7.34,EUR,2021-02-05
8,SK,mFRR,Up,22,21:00:00,22:00:00,7.34,EUR,2021-02-05
9,SK,mFRR,Up,23,22:00:00,23:00:00,7.34,EUR,2021-02-05
10,SK,mFRR,Up,24,23:00:00,00:00:00,7.34,EUR,2021-02-05
11,SK,mFRR,Up,1,00:00:00,01:00:00,0.0,EUR,2021-02-05
12,SK,mFRR,Up,2,01:00:00,02:00:00,0.0,EUR,2021-02-05
13,SK,mFRR,Up,3,02:00:00,03:00:00,0.0,EUR,2021-02-05
14,SK,mFRR,Up,4,03:00:00,04:00:00,0.0,EUR,2021-02-05
15,SK,mFRR,Up,5,04:00:00,05:00:00,0.0,EUR,2021-02-05
16,SK,mFRR,Up,6,05:00:00,06:00:00,0.0,EUR,2021-02-05
17,SK,mFRR,Up,7,06:00:00,07:00:00,0.0,EUR,2021-02-05
18,SK,mFRR,Up,8,07:00:00,08:00:00,0.0,EUR,2021-02-05
19,SK,mFRR,Up,9,08:00:00,09:00:00,0.0,EUR,2021-02-05
20,SK,mFRR,Up,10,09:00:00,10:00:00,0.0,EUR,2021-02-05
21,SK,mFRR,Up,11,10:00:00,11:00:00,0.0,EUR,2021-02-05
22,SK,mFRR,Up,12,11:00:00,12:00:00,0.0,EUR,2021-02-05
23,SK,mFRR,Up,13,12:00:00,13:00:00,0.0,EUR,2021-02-05
24,SK,mFRR,Up,14,13:00:00,14:00:00,0.0,EUR,2021-02-05
25,SK,mFRR,Down,1,00:00:00,01:00:00,0.0,EUR,2021-02-05
26,SK,mFRR,Down,2,01:00:00,02:00:00,0.0,EUR,2021-02-05
27,SK,mFRR,Down,3,02:00:00,03:00:00,0.0,EUR,2021-02-05
28,SK,mFRR,Down,4,03:00:00,04:00:00,0.0,EUR,2021-02-05
29,SK,mFRR,Down,5,04:00:00,05:00:00,0.0,EUR,2021-02-05
30,SK,mFRR,Down,6,05:00:00,06:00:00,0.0,EUR,2021-02-05
31,SK,mFRR,Down,7,06:00:00,07:00:00,0.0,EUR,2021-02-05
32,SK,mFRR,Down,8,07:00:00,08:00:00,0.0,EUR,2021-02-05
33,SK,mFRR,Down,9,08:00:00,09:00:00,0.0,EUR,2021-02-05
34,SK,mFRR,Down,10,09:00:00,10:00:00,0.0,EUR,2021-02-05
35,SK,mFRR,Down,11,10:00:00,11:00:00,0.0,EUR,2021-02-05
36,SK,mFRR,Up,15,14:00:00,15:00:00,0.0,EUR,2021-02-05
37,SK,mFRR,Down,12,11:00:00,12:00:00,0.0,EUR,2021-02-05
38,SK,mFRR,Down,13,12:00:00,13:00:00,0.0,EUR,2021-02-05
39,SK,mFRR,Down,14,13:00:00,14:00:00,0.0,EUR,2021-02-05
40,SK,mFRR,Down,15,14:00:00,15:00:00,0.0,EUR,2021-02-05
41,SK,mFRR,Down,16,15:00:00,16:00:00,0.0,EUR,2021-02-05
42,SK,mFRR,Down,17,16:00:00,17:00:00,0.0,EUR,2021-02-05
43,SK,mFRR,Down,18,17:00:00,18:00:00,0.0,EUR,2021-02-05
44,SK,mFRR,Down,19,18:00:00,19:00:00,0.0,EUR,2021-02-05
45,SK,mFRR,Down,20,19:00:00,20:00:00,0.0,EUR,2021-02-05
46,SK,mFRR,Down,21,20:00:00,21:00:00,0.0,EUR,2021-02-05
47,SK,mFRR,Down,22,21:00:00,22:00:00,0.0,EUR,2021-02-05
48,SK,mFRR,Down,23,22:00:00,23:00:00,0.0,EUR,2021-02-05
49,SK,mFRR,Down,24,23:00:00,00:00:00,0.0,EUR,2021-02-05
50,SK,mFRR,Down,1,00:00:00,01:00:00,0.0,EUR,2021-02-05
51,SK,mFRR,Down,2,01:00:00,02:00:00,0.0,EUR,2021-02-05
52,SK,mFRR,Down,3,02:00:00,03:00:00,0.0,EUR,2021-02-05
53,SK,mFRR,Down,4,03:00:00,04:00:00,0.0,EUR,2021-02-05
54,SK,mFRR,Down,5,04:00:00,05:00:00,0.0,EUR,2021-02-05
55,SK,mFRR,Down,6,05:00:00,06:00:00,0.0,EUR,2021-02-05
56,SK,mFRR,Down,7,06:00:00,07:00:00,0.0,EUR,2021-02-05
57,SK,mFRR,Down,8,07:00:00,08:00:00,0.0,EUR,2021-02-05
58,SK,mFRR,Down,9,08:00:00,09:00:00,0.0,EUR,2021-02-05
59,SK,mFRR,Down,10,09:00:00,10:00:00,0.0,EUR,2021-02-05
60,SK,mFRR,Down,11,10:00:00,11:00:00,0.0,EUR,2021-02-05
61,SK,mFRR,Down,12,11:00:00,12:00:00,0.0,EUR,2021-02-05
62,SK,mFRR,Down,13,12:00:00,13:00:00,0.0,EUR,2021-02-05
63,SK,mFRR,Down,14,13:00:00,14:00:00,0.0,EUR,2021-02-05
64,SK,mFRR,Down,15,14:00:00,15:00:00,0.0,EUR,2021-02-05
65,SK,mFRR,Down,16,15:00:00,16:00:00,0.0,EUR,2021-02-05
66,SK,mFRR,Down,17,16:00:00,17:00:00,0.0,EUR,2021-02-05
67,SK,mFRR,Down,18,17:00:00,18:00:00,0.0,EUR,2021-02-05
68,SK,mFRR,Down,19,18:00:00,19:00:00,0.0,EUR,2021-02-05
69,SK,mFRR,Down,20,19:00:00,20:00:00,0.0,EUR,2021-02-05
70,SK,mFRR,Down,21,20:00:00,21:00:00,0.0,EUR,2021-02-05
71,SK,mFRR,Down,22,21:00:00,22:00:00,0.0,EUR,2021-02-05
72,SK,mFRR,Down,23,22:00:00,23:00:00,0.0,EUR,2021-02-05
73,SK,mFRR,Down,24,23:00:00,00:00:00,0.0,EUR,2021-02-05
74,SK,mFRR,Up,1,00:00:00,01:00:00,7.34,EUR,2021-02-05
75,SK,mFRR,Up,2,01:00:00,02:00:00,7.34,EUR,2021-02-05
76,SK,mFRR,Up,3,02:00:00,03:00:00,7.34,EUR,2021-02-05
77,SK,mFRR,Up,4,03:00:00,04:00:00,7.34,EUR,2021-02-05
78,SK,mFRR,Up,5,04:00:00,05:00:00,7.34,EUR,2021-02-05
79,SK,mFRR,Up,6,05:00:00,06:00:00,7.34,EUR,2021-02-05
80,SK,mFRR,Up,7,06:00:00,07:00:00,7.34,EUR,2021-02-05
81,SK,mFRR,Up,8,07:00:00,08:00:00,7.34,EUR,2021-02-05
82,SK,mFRR,Up,9,08:00:00,09:00:00,7.34,EUR,2021-02-05
83,SK,mFRR,Up,10,09:00:00,10:00:00,7.34,EUR,2021-02-05
84,SK,mFRR,Up,11,10:00:00,11:00:00,7.34,EUR,2021-02-05
85,SK,mFRR,Up,12,11:00:00,12:00:00,7.34,EUR,2021-02-05
86,SK,mFRR,Up,13,12:00:00,13:00:00,7.34,EUR,2021-02-05
87,SK,mFRR,Up,14,13:00:00,14:00:00,7.34,EUR,2021-02-05
88,SK,mFRR,Up,15,14:00:00,15:00:00,7.34,EUR,2021-02-05
89,SK,mFRR,Up,16,15:00:00,16:00:00,7.34,EUR,2021-02-05
90,SK,mFRR,Up,17,16:00:00,17:00:00,7.34,EUR,2021-02-05
91,SK,mFRR,Up,18,17:00:00,18:00:00,7.34,EUR,2021-02-05
92,SK,mFRR,Up,19,18:00:00,19:00:00,7.34,EUR,2021-02-05
93,SK,mFRR,Up,20,19:00:00,20:00:00,7.34,EUR,2021-02-05
94,SK,mFRR,Up,21,20:00:00,21:00:00,7.34,EUR,2021-02-05
95,SK,mFRR,Up,22,21:00:00,22:00:00,7.34,EUR,2021-02-05
96,SK,mFRR,Up,23,22:00:00,23:00:00,7.34,EUR,2021-02-05
97,SK,mFRR,Up,24,23:00:00,00:00:00,7.34,EUR,2021-02-05
98,SK,mFRR,Up,1,00:00:00,01:00:00,0.0,EUR,2021-02-05
99,SK,mFRR,Up,2,01:00:00,02:00:00,0.0,EUR,2021-02-05
100,SK,mFRR,Up,3,02:00:00,03:00:00,0.0,EUR,2021-02-05
101,SK,mFRR,Up,4,03:00:00,04:00:00,0.0,EUR,2021-02-05
102,SK,mFRR,Up,5,04:00:00,05:00:00,0.0,EUR,2021-02-05
103,SK,mFRR,Up,6,05:00:00,06:00:00,0.0,EUR,2021-02-05
104,SK,mFRR,Up,7,06:00:00,07:00:00,0.0,EUR,2021-02-05
105,SK,mFRR,Up,8,07:00:00,08:00:00,0.0,EUR,2021-02-05
106,SK,mFRR,Up,9,08:00:00,09:00:00,0.0,EUR,2021-02-05
107,SK,mFRR,Up,10,09:00:00,10:00:00,0.0,EUR,2021-02-05
108,SK,mFRR,Up,11,10:00:00,11:00:00,0.0,EUR,2021-02-05
109,SK,mFRR,Up,12,11:00:00,12:00:00,0.0,EUR,2021-02-05
110,SK,mFRR,Up,13,12:00:00,13:00:00,0.0,EUR,2021-02-05
111,SK,mFRR,Up,14,13:00:00,14:00:00,0.0,EUR,2021-02-05
112,SK,mFRR,Up,15,14:00:00,15:00:00,0.0,EUR,2021-02-05
113,SK,mFRR,Up,16,15:00:00,16:00:00,0.0,EUR,2021-02-05
